날짜,스타벅스,이벤트,기프티콘,카드,웃다,엄마,커피,카드지갑,아기,추첨
2016-01-01,32.71539,0.94331,2.35328,0.7984,0.10207,3.00587,0.80142,0.92645,0.26923,0.03298
2016-01-02,24.19909,0.87313,1.97048,0.607,0.1121,25.22289,0.85325,1.04395,0.27143,0.03455
2016-01-03,22.95135,0.86037,1.95499,0.61703,0.12213,53.53177,0.91011,1.15045,0.27174,0.0311
2016-01-04,24.73591,1.34252,3.04413,1.02534,0.15585,8.9306,1.0785,1.28176,0.29342,0.05026
2016-01-05,26.88139,1.35801,3.27837,0.97886,0.15676,3.26819,1.05149,1.21516,0.27771,0.04492
2016-01-06,23.66226,1.33978,3.16262,0.998,0.19686,3.20662,1.05997,1.24438,0.37542,0.04146
2016-01-07,24.7113,1.44186,2.98307,0.92144,0.17225,3.71587,1.10238,1.18029,0.39803,0.04775
2016-01-08,19.82427,1.24499,2.83907,0.87678,0.15858,3.59806,1.06908,1.08541,0.31164,0.04398
2016-01-09,17.16111,0.81207,1.95317,0.68265,0.13397,23.55125,0.92331,0.97891,0.25132,0.03235
2016-01-10,17.6159,0.79566,1.87661,0.70908,0.12577,32.19754,0.96195,1.18814,0.27803,0.04084
2016-01-11,19.64928,1.27963,2.84545,0.99526,0.16314,7.22,1.2381,1.17809,0.30222,0.05057
2016-01-12,19.24279,1.36986,2.83269,0.92873,0.17134,3.24086,1.12468,1.17715,0.33049,0.04932
2016-01-13,24.07422,1.36986,3.05963,0.98706,0.17681,2.70522,1.13851,1.19474,0.30944,0.0534
2016-01-14,33.67511,1.32064,2.89375,0.92873,0.17499,3.16169,1.06971,1.13788,0.29656,0.05183
2016-01-15,25.86698,1.25775,2.86367,0.89501,0.15585,3.60623,1.05463,0.96352,0.29719,0.04178
2016-01-16,17.84649,0.84944,1.86111,0.70361,0.11757,13.6455,0.91671,0.91608,0.25761,0.03173
2016-01-17,18.23476,0.85582,1.90486,0.72457,0.11119,30.38798,0.99022,1.14039,0.30065,0.0267
2016-01-18,19.16076,1.31973,2.92292,1.01349,0.14582,6.99915,1.16553,1.22741,0.2953,0.04492
2016-01-19,18.04792,1.49837,3.02044,1.01896,0.15129,3.16264,1.25255,1.23495,0.2997,0.04272
2016-01-20,19.85071,1.62141,2.90651,0.98615,0.18228,2.58081,1.12908,1.23244,0.28934,0.05277
2016-01-21,19.27378,1.27872,3.00312,0.92053,0.1996,3.08064,1.07599,1.19851,0.2975,0.04429
2016-01-22,18.25116,1.27416,2.94844,1.17026,0.144,5.21095,1.03986,1.054,0.29688,0.04743
2016-01-23,17.19301,0.82483,2.10993,0.72731,0.12668,21.26103,0.94436,1.03672,0.27614,0.02953
2016-01-24,17.95677,0.89774,1.95317,0.72731,0.12759,51.51455,1.01599,1.21391,0.28431,0.03455
2016-01-25,18.4772,1.34798,3.19634,1.08914,0.15767,8.16499,1.22427,1.22396,0.30002,0.0512
2016-01-26,18.68135,1.43001,3.10155,0.98342,0.17316,4.57447,1.1561,1.24187,0.28462,0.03958
2016-01-27,18.38332,1.3416,3.25012,0.99253,0.1841,3.14661,1.29433,1.23433,0.2818,0.04806
2016-01-28,19.60736,1.39902,3.30024,0.99162,0.14309,3.18494,1.18249,1.23401,0.31761,0.04523
2016-01-29,19.60553,1.21218,3.3048,0.89045,0.14309,5.90839,1.09358,1.185,0.27551,0.04052
2016-01-30,17.5758,0.84761,2.27763,0.69632,0.11757,24.47174,1.01284,1.31726,0.26923,0.03518
2016-01-31,17.67515,0.87222,2.08532,0.73186,0.13853,41.79699,1.05588,1.54786,0.29122,0.03581
2016-02-01,26.79845,1.31244,3.53266,0.95425,0.1522,9.19575,1.14542,1.39612,0.28996,0.04618
2016-02-02,38.53297,1.18484,3.6639,0.91233,0.14947,3.53743,1.14134,1.34083,0.2642,0.04366
2016-02-03,27.616,1.14474,3.77418,0.93876,0.15858,3.21447,1.46806,1.35842,0.24661,0.04586
2016-02-04,23.99219,1.24773,4.03211,0.95607,0.15676,2.91414,1.18532,1.24909,0.26703,0.04523
2016-02-05,23.58205,1.10555,4.65552,0.91688,0.13033,5.36458,0.85702,1.21202,0.26169,0.03769
2016-02-06,19.3157,0.76832,2.53465,0.75465,0.12304,30.63083,0.79042,1.10426,0.27426,0.03235
2016-02-07,19.42781,0.62067,2.15094,0.73642,0.11392,70.61575,0.74989,1.2538,0.25823,0.0223
2016-02-08,23.66408,0.58057,1.97231,0.73642,0.09478,11.0053,0.77283,1.13631,0.25195,0.0223
2016-02-09,19.54082,0.65439,2.10082,0.77744,0.13033,4.94737,0.84665,1.45015,0.26357,0.02701
2016-02-10,21.21874,0.7902,2.39156,0.89865,0.12395,5.05042,0.9563,1.62137,0.32326,0.03549
2016-02-11,21.92783,1.14474,3.73226,1.05906,0.18046,7.30859,1.07819,1.70902,0.32044,0.04209
2016-02-12,20.77488,1.27325,4.08862,1.04904,0.14856,11.44607,1.13819,1.65279,0.30316,0.05057
2016-02-13,18.56743,0.91324,4.27546,0.7665,0.09569,52.40174,0.97797,1.40366,0.28682,0.04398
2016-02-14,19.06871,0.93238,6.65609,0.80478,0.12213,71.7728,0.99839,1.72253,0.27457,0.03518
2016-02-15,26.77749,1.28874,3.81611,1.09279,0.17134,12.46929,1.2004,1.54849,0.31447,0.05183
2016-02-16,34.67949,1.40085,3.57094,1.04904,0.15311,4.76045,1.17087,1.59435,0.2752,0.05466
2016-02-17,26.32087,1.32429,3.58916,0.99162,0.16132,6.3036,1.15327,1.57959,0.30347,0.04995
2016-02-18,27.20859,1.3735,3.44607,0.95152,0.15858,5.66743,1.18877,1.53372,0.30159,0.05183
2016-02-19,22.42911,1.2532,3.52263,1.07638,0.14126,7.02239,1.08384,1.52649,0.28337,0.05026
2016-02-20,20.20069,0.83303,2.38974,0.72002,0.10572,81.09641,0.90195,1.43507,0.2664,0.03298
2016-02-21,19.45059,0.79384,2.41434,0.91233,0.14035,100,0.90603,1.67321,0.27614,0.03204
2016-02-22,21.57329,1.28418,3.704,1.23861,0.17954,15.17514,1.12091,1.51958,0.28117,0.05089
2016-02-23,21.57055,1.30241,3.55362,1.0855,0.16678,4.43027,1.47591,1.49791,0.2975,0.04146
2016-02-24,20.86056,1.2778,3.55818,0.9898,0.16223,3.9006,1.58838,1.50607,0.29122,0.05089
2016-02-25,20.41396,1.24955,3.66846,0.99709,0.15402,3.90751,1.28239,1.41842,0.2975,0.04712
2016-02-26,19.35672,1.18849,3.57732,0.94423,0.16678,4.67468,1.10521,1.30187,0.28022,0.04743
2016-02-27,18.37147,0.79475,2.27399,0.78746,0.13489,5.62501,0.92268,1.36219,0.26829,0.04084
2016-02-28,18.56743,0.73916,2.38518,0.75374,0.13124,4.73783,0.96446,1.52147,0.28494,0.03864
2016-02-29,24.03412,1.08094,3.03776,0.91962,0.16952,2.20916,1.10584,1.42628,0.29719,0.03769
2016-03-01,28.33602,0.97157,2.85,0.85035,0.12213,1.67258,1.12626,1.52995,0.27803,0.0468
2016-03-02,21.4466,1.1019,3.03684,0.90686,0.15858,1.17589,1.10238,1.30815,0.24912,0.03549
2016-03-03,20.20069,1.08185,3.07512,0.84761,0.13853,1.22364,1.09327,1.21925,0.24598,0.04429
2016-03-04,20.04119,1.1019,2.97851,0.84944,0.14764,1.14887,1.07945,1.1338,0.26012,0.04398
2016-03-05,23.21475,0.80296,2.41526,0.75738,0.11575,1.67823,1.16176,1.27171,0.27771,0.03173
2016-03-06,24.06966,0.82118,2.34508,0.80842,0.13397,1.5023,1.20197,1.409,0.29373,0.03267
2016-03-07,23.91654,1.18666,2.9694,0.88863,0.15311,1.03295,1.21705,1.36313,0.28965,0.03864
2016-03-08,22.54486,1.24044,2.98216,0.93329,0.17772,0.89064,1.22522,1.34554,0.28148,0.04178
2016-03-09,20.51695,1.27598,2.94023,0.94605,0.17863,0.83566,1.23495,1.3468,0.25729,0.03864
2016-03-10,19.99835,1.27598,3.41964,1.04722,0.1604,0.80833,1.14668,1.21171,0.30599,0.04775
2016-03-11,19.70397,1.28874,3.16627,0.98524,0.11666,0.76906,1.08573,1.19788,0.29656,0.03801
2016-03-12,20.01111,0.90686,2.86732,0.75374,0.15038,1.01441,0.96289,1.21611,0.28588,0.03047
2016-03-13,21.68539,0.90412,4.7257,0.82848,0.16132,1.05934,1.05054,1.49822,0.33426,0.03769
2016-03-14,23.71603,1.24044,9.22265,0.93967,0.17772,0.77471,1.18689,1.39612,0.26483,0.04335
2016-03-15,19.07418,1.30606,3.51352,0.92144,0.16223,0.66915,1.17935,1.34397,0.2598,0.04429
2016-03-16,18.39243,1.19304,3.07512,0.90321,0.18775,0.71659,1.11338,1.34585,0.26766,0.04743
2016-03-17,19.45788,1.26504,2.80808,0.83577,0.17134,0.75523,1.0983,1.23904,0.28588,0.03958
2016-03-18,19.47064,1.14747,3.04413,0.96974,0.14856,0.71816,1.07065,1.05526,0.26672,0.04209
2016-03-19,19.42234,0.74645,2.22568,0.81298,0.13762,0.87336,0.88467,1.10207,0.29091,0.03738
2016-03-20,19.42234,0.85308,2.15368,0.91415,0.144,0.93179,1.00059,1.35088,0.29248,0.03926
