시간,성별,연령,지역,우선사항,고려사항,개선사항,선호브랜드
2018-01-02 10:09:16,여자,20대,서울,가격,가격,가성비,네네치킨
2018-01-02 10:09:22,남자,20대,서울,가격,,,굽네치킨
2018-01-02 10:09:26,남자,20대,서울,맛,안먹어본 맛,가격이 높음,네네치킨
2018-01-02 10:09:27,남자,20대,서울,맛,얼마나 맛있는지,더 맛있는 걸 내놔라!,굽네치킨
2018-01-02 10:09:29,여자,20대,충남,맛,내가 원하는 맛이 있는가,가격인하,네네치킨
2018-01-02 10:09:34,남자,20대,서울,맛,카드 잔액,비싸다,굽네치킨
2018-01-02 10:09:36,남자,20대,경북,맛,맛,가격,네네치킨
2018-01-02 10:09:36,여자,20대,서울,맛,원하는 메뉴의 여부,가격,네네치킨
2018-01-02 10:09:40,여자,20대,서울,맛,배달시간,직접 가서 머글 수 있는 곳이 적음,네네치킨
2018-01-02 10:09:41,여자,20대,경기,맛,배달 시간,가격 대비 양이 적다,굽네치킨
2018-01-02 10:09:51,여자,20대,서울,맛,양,메뉴 차별성,BBQ
2018-01-02 10:09:51,여자,20대,서울,맛,우선적으로 맛으로 브래드를 고르고 배달 시간이 어느 정도 걸리는지에 따라서 결정한다,가격,BBQ
2018-01-02 10:09:51,여자,20대,경기,맛,맛과 배달시간을 고려한다,가격이 다소 비싼 감이있다,굽네치킨
2018-01-02 10:09:52,여자,20대,서울,맛,"배달시간, 가격",배달의 민족같은 앱상에서 가격결제시 결제상한선 낮출필요 있다고 생각합니다.,네네치킨
2018-01-02 10:10:05,남자,20대,서울,맛,"배달이 빨리 오는지, 치킨이 식지 않고 오는지",점포마다 어느정도 퀄리티 차이가 있는 것 같음,BBQ
2018-01-02 10:10:09,남자,20대,서울,맛,"구웠는지 튀겼는지의 여부, 가격",중소 브랜드들과 비교했을때 가격이 너무 비싸다.,굽네치킨
2018-01-02 10:10:18,여자,20대,서울,맛,맛을 중요시한다.,가격이 좀 내려갔으면 좋겠다.,BBQ
2018-01-02 10:10:28,여자,20대,경기,맛,가격,가격 할인,BBQ
2018-01-02 10:10:32,남자,20대,서울,가격,1.최대한 빨리 배달해 주세요.,차별화된 맛이 없는 대부분 정해진 틀 속에서 맛이 변한다 ( 후라이드 양념 간장...),굽네치킨
2018-01-02 10:11:02,남자,20대,서울,맛,"맛, 가격, 배달시간 모두 종합적으로 고려",상품과 서비스 대비 높게 책정된 가격,BBQ
2018-01-02 10:11:37,여자,20대,전남,맛,치킨을 평소 많이 먹는 편이 아니기 때문에 한번 먹을 때 맛을 많이 고려해서 먹거나 주변인의 추천을 많이 따른다. 즉흥적으로 먹을 때가 많기 때문에 배달가능여부도 매우 중요하다. 그리고 치킨의 통상적인 맛보다는 새로운 양념 소스가 첨가된 맛들을 선호한다.,가격이 너무 비싸다. 고공행진 중  네네치킨은 요새 너무 짜서 갈아탐,BBQ
2018-01-02 10:12:12,여자,20대,서울,,,,
