다발지식별자,다발지그룹식별자,법정동코드,스팟코드,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
6345678,2017081,1141011800,110811001,9,10,0,5,3,2
6345672,2017081,1141012000,110811003,5,5,0,1,4,0
6345679,2017081,1144010400,111511001,7,8,0,2,6,0
6345478,2017081,1144012100,111511002,5,5,0,0,4,1
6345528,2017081,1147010200,112911002,7,7,1,1,5,0
6345460,2017081,1147010200,112911003,6,6,0,3,3,0
6345513,2017081,1147010300,112911005,4,4,0,2,2,0
6345317,2017081,1147010300,112911006,4,4,0,1,3,0
6345543,2017081,1150010300,112311001,9,9,0,6,2,1
6345293,2017081,1150010300,112311002,6,7,0,2,4,1
6345269,2017081,1111012300,110611002,4,4,0,4,0,0
6345268,2017081,1111013800,110611001,5,6,1,2,3,0
6345300,2017081,1153010200,112711004,4,4,1,2,1,0
6345410,2017081,1153010200,112711005,4,4,0,2,2,0
6345273,2017081,1114016200,110411002,4,5,1,3,0,1
6345271,2017081,1114016500,110411001,7,7,2,3,2,0
6345335,2017081,1153010300,112711001,7,8,0,5,3,0
6345571,2017081,1153010600,112711003,6,6,0,5,1,0
6345272,2017081,1114016600,110511001,7,7,2,4,1,0
6345587,2017081,1117011200,111011002,5,5,0,3,1,1
6345338,2017081,1153010700,112711002,7,7,0,5,2,0
6345414,2017081,1154510100,111711001,9,9,1,3,5,0
6345443,2017081,1117012500,111011003,4,4,0,3,1,0
6345275,2017081,1117013100,111011004,4,4,0,2,2,0
6345469,2017081,1154510200,111711002,6,6,0,2,3,1
6345535,2017081,1156010300,111611003,4,4,0,3,1,0
6345274,2017081,1117013600,111011001,6,7,0,4,3,0
6345278,2017081,1121510700,111411001,7,7,0,3,4,0
6345308,2017081,1147010300,112911001,7,8,1,1,6,0
6345503,2017081,1147010300,112911004,4,4,0,3,0,1
6345287,2017081,1126010500,112011001,6,7,0,5,2,0
6345482,2017081,1129013400,112611002,4,4,0,3,1,0
6345635,2017081,1168010600,113411001,4,4,0,3,1,0
6345634,2017081,1168010800,112211001,7,7,0,2,5,0
6345307,2017081,1129013800,112611001,5,5,0,2,2,1
6345620,2017081,1130510300,111211001,4,4,0,1,2,1
6345424,2017081,1168010800,112211002,5,5,0,2,3,0
6345347,2017081,1171010400,112511002,4,4,0,0,4,0
6345518,2017081,1132010600,113111001,4,4,1,2,1,0
6345365,2017081,1135010300,113011002,3,3,1,1,0,1
6345558,2017081,1135010600,113011001,4,4,0,3,0,1
6345641,2017081,1138010900,110911001,4,4,0,2,2,0
6345458,2017081,1141011200,110811002,6,6,0,4,2,0
6345433,2017081,1141011700,110811004,4,4,1,1,2,0
6345599,2017081,4420011400,160844002,5,5,1,3,1,0
6345487,2017081,4421010700,160444001,4,4,0,3,1,0
6345319,2017081,4476025029,161444001,6,6,0,2,4,0
6345606,2017081,4477025321,160944001,7,8,1,3,4,0
6345330,2017081,4518010400,170645001,8,8,0,4,4,0
6345542,2017081,4611011100,180346002,4,4,0,3,1,0
6345504,2017081,4611015900,180346001,4,4,1,0,3,0
6345508,2017081,4611015900,180346003,4,4,0,2,2,0
6345566,2017081,4613010800,180446002,5,5,1,2,2,0
6345560,2017081,4613011900,180446001,7,8,0,1,7,0
6345567,2017081,4613012200,180446003,4,5,0,2,3,0
6345585,2017081,4615011300,180546002,4,4,0,1,3,0
6345298,2017081,4615011900,180546001,4,4,0,2,2,0
6345357,2017081,4623010600,182346001,6,6,0,1,5,0
6345519,2017081,4677025026,180846001,5,5,0,5,0,0
6345405,2017081,4719011700,193047002,4,5,0,0,5,0
6345533,2017081,4514012100,170545002,5,5,0,1,4,0
6345331,2017081,4514012200,170545003,5,5,0,1,4,0
6345616,2017081,4831010600,201748002,4,5,0,2,3,0
6345626,2017081,4831010900,201748001,6,6,0,3,3,0
6345549,2017081,5011025024,210450001,6,6,0,1,1,4
6345390,2017081,5013010500,210350001,3,3,1,2,0,0
6345439,2017081,4719012800,193047001,4,4,0,2,1,1
6345380,2017081,4723011300,191347001,4,4,0,4,0,0
6345462,2017081,4812110400,202748001,6,6,0,1,5,0
6345423,2017081,4812515800,200248001,7,7,0,7,0,0
6345618,2017081,4812710400,202548001,5,6,0,5,1,0
6345436,2017081,4817010400,200348001,3,3,2,1,0,0
6345438,2017081,4822011000,200648001,5,5,0,4,1,0
6345468,2017081,4825010700,200948002,5,6,0,3,3,0
6345385,2017081,4825011800,200948001,7,7,0,5,2,0
6345309,2017081,4825025027,202848001,6,6,0,1,4,1
6345403,2017081,2653010400,121526002,4,4,0,1,3,0
6345302,2017081,2653010500,121526001,4,5,0,4,0,1
6345580,2017081,2920010900,240629001,7,7,0,2,5,0
6345579,2017081,2920010900,240629002,5,5,3,1,1,0
6345413,2017081,2920011500,240629003,5,5,0,3,2,0
6345653,2017081,2920011600,240629004,4,4,1,1,2,0
6345538,2017081,1156011300,111611004,4,4,0,2,2,0
6345354,2017081,1156013200,111611001,5,5,0,2,3,0
6345681,2017081,2711010500,223227001,11,13,0,2,8,3
6345652,2017081,2711012200,223227002,6,6,0,4,2,0
6345432,2017081,2920011900,240629005,4,5,0,4,1,0
6345600,2017081,3011010200,250330001,4,4,0,3,1,0
6345548,2017081,4413111800,162144001,7,7,0,2,4,1
6345492,2017081,4420010100,160844001,9,9,0,1,8,0
6345553,2017081,1156013300,111611002,4,4,0,4,0,0
6345467,2017081,1159010700,111911001,8,9,0,8,1,0
6345565,2017081,2711014300,223227003,4,4,0,2,2,0
6345647,2017081,2714010100,220427001,4,4,0,2,2,0
6345327,2017081,4128111900,132141001,4,4,0,2,2,0
6345552,2017081,4137010300,132441003,5,5,0,1,4,0
6345299,2017081,3111010500,260231001,4,4,0,2,2,0
6345449,2017081,3114010100,260331001,4,4,0,3,1,0
6345574,2017081,1159010700,111911002,4,4,0,2,1,1
6345442,2017081,1162010100,112111001,7,8,0,5,1,2
6345650,2017081,2717010100,223027003,4,4,0,1,1,2
6345450,2017081,2717010300,223027001,4,4,0,3,1,0
6345476,2017081,4137012100,132441002,6,7,1,1,4,1
6345520,2017081,4139013200,133541001,5,6,0,1,4,1
6345693,2017081,3611025022,161236001,4,5,1,1,3,0
6345363,2017081,4111113400,130541001,5,5,0,4,1,0
6345633,2017081,1162010100,112111002,6,6,1,2,2,1
6345610,2017081,1162010200,112111003,4,4,0,1,3,0
6345551,2017081,2823710600,231028001,5,5,0,3,2,0
6345348,2017081,2824510200,230728002,4,4,0,4,0,0
6345329,2017081,4157025324,131841001,6,7,0,3,3,1
6345332,2017081,4159011600,132441001,7,7,0,4,3,0
6345464,2017081,4111312900,133941001,4,4,0,0,3,1
6345371,2017081,4113110300,130841001,8,8,1,4,3,0
6345608,2017081,1165010800,112811001,4,4,0,2,2,0
6345541,2017081,1168010300,112411004,4,4,0,1,2,1
6345640,2017081,2824510200,230728003,4,4,0,3,1,0
6345514,2017081,2824510300,230728001,6,6,0,2,2,2
6345498,2017081,4161010100,131441001,5,5,0,4,1,0
6345648,2017081,4161010500,131441002,5,5,0,0,5,0
6345391,2017081,4113310500,133241001,7,7,0,2,5,0
6345417,2017081,4117310400,131241001,4,4,0,3,1,0
6345583,2017081,2611012400,120226001,4,5,1,3,1,0
6345400,2017081,2614011800,120426001,7,7,0,5,2,0
6345404,2017081,2826011000,230628002,4,4,0,3,1,0
6345615,2017081,2826011200,230628001,4,5,1,0,4,0
6345523,2017081,4161010800,131441003,4,4,1,1,2,0
6345645,2017081,4180025321,281241001,5,5,0,5,0,0
6345420,2017081,4119010800,132641001,9,9,0,3,6,0
