구,세대,인구수,세대당인구,65세이상고령자,고령비율
종로구,73668.0,164640.0,2.11,26034.0,15.81268221574344
중구,60130.0,134174.0,2.08,21249.0,15.836898355866264
용산구,107090.0,243922.0,2.14,36727.0,15.05686243963234
성동구,132415.0,312933.0,2.3,40902.0,13.070529474360326
광진구,160085.0,372414.0,2.23,43579.0,11.70176201753962
동대문구,160029.0,367769.0,2.2,55287.0,15.03307782874576
중랑구,179002.0,414554.0,2.29,58675.0,14.153765251330345
성북구,187822.0,458261.0,2.38,65937.0,14.388525316359019
강북구,142165.0,329042.0,2.29,56078.0,17.042809124671017
도봉구,137269.0,347338.0,2.52,52909.0,15.232712804242555
노원구,218469.0,562278.0,2.56,73588.0,13.087476301758205
은평구,202391.0,491899.0,2.41,73850.0,15.013244588828195
서대문구,137509.0,326479.0,2.28,48985.0,15.004027824147956
마포구,169626.0,387776.0,2.22,49436.0,12.748597128238984
양천구,176811.0,476627.0,2.67,54598.0,11.45507912896248
강서구,252683.0,607877.0,2.38,75046.0,12.345589650537855
구로구,171861.0,443288.0,2.4,58260.0,13.14269729837036
금천구,105862.0,253646.0,2.23,33818.0,13.33275509962704
영등포구,166733.0,401908.0,2.21,53620.0,13.341361704668731
동작구,173474.0,410703.0,2.3,56902.0,13.854780705278511
관악구,254964.0,522849.0,1.98,69486.0,13.289879104674581
서초구,173885.0,447177.0,2.55,52738.0,11.793540365448134
강남구,233583.0,565731.0,2.4,64579.0,11.415142532404978
송파구,262611.0,668366.0,2.52,75301.0,11.266431865175667
강동구,178864.0,446760.0,2.47,55902.0,12.512758528068762
